PlayerID,FG,FGA,3P,3PA,FT,FTA,FG%,3P%,FT%
jonesma05,0.9,1.8,0.1,0.8,0.4,0.5,0.5,0.125,0.8
norrimi01,0.7,3.0,0.7,2.3,0.3,0.7,0.222,0.286,0.5
baldwpa01,0.8,1.5,0.5,1.0,0.1,0.2,0.543,0.565,0.5
baldwpa01,0.8,1.5,0.5,1.0,0.1,0.2,0.515,0.524,0.5
baldwpa01,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,
peterdr01,0.7,1.6,0.5,1.3,0.3,0.4,0.415,0.394,0.778
washity02,0.9,2.8,0.3,1.3,0.2,0.4,0.311,0.19,0.5
mclaujo01,0.7,1.6,0.4,1.0,0.4,0.5,0.431,0.413,0.773
mclaujo01,0.6,1.6,0.4,0.9,0.4,0.6,0.364,0.385,0.688
mclaujo01,0.8,1.6,0.5,1.1,0.3,0.3,0.536,0.45,1.0
davisjd01,0.8,2.1,0.3,1.1,0.3,0.4,0.353,0.222,0.714
duartch01,0.7,1.5,0.4,0.9,0.4,0.5,0.462,0.4,0.75
freemen01,0.7,1.7,0.0,0.5,0.6,0.9,0.432,0.1,0.684
furphjo01,0.7,1.8,0.3,1.0,0.4,0.4,0.38,0.3,0.818
poweldw01,0.8,1.1,0.0,0.1,0.5,0.8,0.689,0.4,0.651
chrisjo01,0.8,2.2,0.1,0.8,0.3,0.4,0.355,0.182,0.667
kolekty01,0.7,2.0,0.3,1.1,0.3,0.4,0.329,0.298,0.765
sanogad01,1.0,1.8,0.0,0.0,0.0,0.0,0.571,,
brownko01,0.8,1.8,0.2,0.7,0.1,0.2,0.458,0.231,0.714
hukpoar01,0.8,1.2,0.0,0.0,0.2,0.5,0.677,,0.462
klintbo01,0.8,1.3,0.3,0.6,0.1,0.3,0.6,0.4,0.5
templga01,0.6,2.1,0.2,1.0,0.4,0.4,0.3,0.214,0.917
simsje01,0.8,1.3,0.0,0.0,0.2,0.2,0.634,,0.615
simsje01,0.7,1.2,0.0,0.0,0.2,0.3,0.609,,0.615
simsje01,1.2,1.8,0.0,0.0,0.0,0.0,0.68,,
cancavl01,0.8,2.0,0.3,1.2,0.0,0.0,0.385,0.267,
flaglad01,0.7,2.6,0.4,1.9,0.0,0.1,0.26,0.194,0.5
flowetr01,0.7,1.8,0.0,0.3,0.5,0.5,0.364,0.0,1.0
liddeej01,0.7,1.3,0.3,0.8,0.2,0.2,0.533,0.3,1.0
youngja05,0.7,0.8,0.2,0.3,0.3,0.3,0.8,0.5,1.0
dadiepa01,0.6,1.7,0.3,1.1,0.2,0.3,0.323,0.316,0.667
ducasal01,0.6,1.4,0.5,1.0,0.1,0.1,0.4,0.476,1.0
hallpj01,0.7,1.3,0.1,0.4,0.2,0.2,0.583,0.25,0.75
milleem01,0.7,1.3,0.0,0.2,0.3,0.3,0.5,0.0,1.0
thomptr01,0.8,1.8,0.0,0.1,0.2,0.8,0.437,0.0,0.233
lenal01,0.7,1.4,0.0,0.2,0.2,0.4,0.508,0.222,0.471
lenal01,0.6,1.1,0.0,0.2,0.2,0.4,0.537,0.167,0.538
lenal01,1.0,2.2,0.1,0.3,0.1,0.4,0.455,0.333,0.25
kawamyu01,0.5,1.4,0.3,1.0,0.3,0.4,0.367,0.304,0.778
mcveija01,0.6,1.9,0.4,1.4,0.0,0.0,0.294,0.308,
armeltr01,0.7,2.1,0.0,0.8,0.2,0.8,0.316,0.0,0.286
walshjo01,0.6,1.6,0.3,1.1,0.1,0.2,0.361,0.273,0.583
wheelph02,0.6,4.2,0.0,2.0,0.4,0.4,0.143,0.0,1.0
cissosi01,0.6,1.4,0.1,0.6,0.1,0.4,0.433,0.231,0.333
cissosi01,0.5,1.1,0.2,0.4,0.1,0.4,0.5,0.429,0.167
cissosi01,0.8,2.4,0.0,1.2,0.4,0.6,0.333,0.0,0.667
gortmja01,0.6,1.4,0.3,0.7,0.1,0.3,0.391,0.364,0.5
mcculke01,0.5,1.8,0.0,0.3,0.5,0.5,0.286,0.0,1.0
millele01,0.5,1.2,0.0,0.4,0.6,0.6,0.4,0.0,1.0
olivaqu01,0.5,2.5,0.5,2.5,0.0,0.0,0.2,0.2,
